trial,day,condition,subject,sex,elongation
fake.day7.l1.trial3,7,Fake Tail,l1,Male,76.049
fake.day8.a1.trial1,8,Fake Tail,a1,Female,76.0852
fake.day8.a1.trial2,8,Fake Tail,a1,Female,66.4823
fake.day8.a1.trial3,8,Fake Tail,a1,Female,75.0671
fake.day8.a1.trial4,8,Fake Tail,a1,Female,71.8246
fake.day8.a1.trial5,8,Fake Tail,a1,Female,75.8828
fake.day8.d1.trial1,8,Fake Tail,d1,Female,75.3871
fake.day8.d1.trial2,8,Fake Tail,d1,Female,75.552
fake.day8.d1.trial3,8,Fake Tail,d1,Female,76.3444
fake.day8.d1.trial4,8,Fake Tail,d1,Female,72.9322
fake.day8.d1.trial5,8,Fake Tail,d1,Female,72.852
fake.day8.f2.trial1,8,Fake Tail,f2,Female,76.7154
fake.day8.f2.trial2,8,Fake Tail,f2,Female,77.7366
fake.day8.f2.trial3,8,Fake Tail,f2,Female,72.1305
fake.day8.f2.trial4,8,Fake Tail,f2,Female,77.1887
fake.day8.f2.trial5,8,Fake Tail,f2,Female,77.2619
fake.day8.h2.trial1,8,Fake Tail,h2,Male,77.6833
fake.day8.h2.trial2,8,Fake Tail,h2,Male,77.528
fake.day8.h2.trial3,8,Fake Tail,h2,Male,78.6647
fake.day8.h2.trial4,8,Fake Tail,h2,Male,75.9485
fake.day8.h2.trial5,8,Fake Tail,h2,Male,78.4622
fake.day8.k2.trial1,8,Fake Tail,k2,Male,77.8406
fake.day8.k2.trial2,8,Fake Tail,k2,Male,79.8952
fake.day9.a1.trial1,9,Fake Tail,a1,Female,77.3992
fake.day9.a1.trial2,9,Fake Tail,a1,Female,77.1085
fake.day9.a1.trial3,9,Fake Tail,a1,Female,77.3096
fake.day9.a1.trial4,9,Fake Tail,a1,Female,77.4092
fake.day9.a1.trial5,9,Fake Tail,a1,Female,77.5567
fake.day9.d1.trial1,9,Fake Tail,d1,Female,69.7707
fake.day9.d1.trial2,9,Fake Tail,d1,Female,72.4609
fake.day9.d1.trial3,9,Fake Tail,d1,Female,70.9899
fake.day9.d1.trial4,9,Fake Tail,d1,Female,71.1817
fake.day9.d1.trial5,9,Fake Tail,d1,Female,73.0768
fake.day9.f2.trial1,9,Fake Tail,f2,Female,76.5847
fake.day9.f2.trial2,9,Fake Tail,f2,Female,76.9271
fake.day9.f2.trial3,9,Fake Tail,f2,Female,76.8106
fake.day9.f2.trial4,9,Fake Tail,f2,Female,76.8143
fake.day9.f2.trial5,9,Fake Tail,f2,Female,77.1397
fake.day9.h2.trial2,9,Fake Tail,h2,Male,76.1578
fake.day9.h2.trial3,9,Fake Tail,h2,Male,77.2339
fake.day9.h2.trial4,9,Fake Tail,h2,Male,76.8605
fake.day9.h2.trial5,9,Fake Tail,h2,Male,77.7515
fake.day9.k2.trial1,9,Fake Tail,k2,Male,75.693
fake.day9.k2.trial2,9,Fake Tail,k2,Male,79.2099
fake.day9.k2.trial3,9,Fake Tail,k2,Male,78.6236
fake.day9.k2.trial4,9,Fake Tail,k2,Male,76.9172
fake.day9.k2.trial5,9,Fake Tail,k2,Male,78.7996
fake.day9.l1.trial1,9,Fake Tail,l1,Male,79.4882
fake.day9.l1.trial2,9,Fake Tail,l1,Male,81.343
fake.day9.l1.trial3,9,Fake Tail,l1,Male,80.9763
fake.day9.l1.trial4,9,Fake Tail,l1,Male,79.3602
fake.day9.l1.trial5,9,Fake Tail,l1,Male,78.906
fake.day10.a1.trial1,10,Fake Tail,a1,Female,74.2424
fake.day10.a1.trial2,10,Fake Tail,a1,Female,74.7314
fake.day10.a1.trial3,10,Fake Tail,a1,Female,74.9058
fake.day10.a1.trial4,10,Fake Tail,a1,Female,74.4198
fake.day10.a1.trial5,10,Fake Tail,a1,Female,75.5394
fake.day10.d1.trial1,10,Fake Tail,d1,Female,70.3759
fake.day10.d1.trial2,10,Fake Tail,d1,Female,69.0573
fake.day10.d1.trial3,10,Fake Tail,d1,Female,71.0342
fake.day10.d1.trial4,10,Fake Tail,d1,Female,67.867
fake.day10.d1.trial5,10,Fake Tail,d1,Female,70.1264
fake.day10.f2.trial1,10,Fake Tail,f2,Female,76.7498
fake.day10.f2.trial2,10,Fake Tail,f2,Female,75.8977
fake.day10.f2.trial3,10,Fake Tail,f2,Female,76.9372
fake.day10.f2.trial4,10,Fake Tail,f2,Female,76.453
fake.day10.f2.trial5,10,Fake Tail,f2,Female,76.903
fake.day10.h2.trial1,10,Fake Tail,h2,Male,77.6455
fake.day10.h2.trial2,10,Fake Tail,h2,Male,77.6261
fake.day10.h2.trial3,10,Fake Tail,h2,Male,76.4777
fake.day10.h2.trial4,10,Fake Tail,h2,Male,78.0621
fake.day10.h2.trial5,10,Fake Tail,h2,Male,76.7932
fake.day10.k2.trial1,10,Fake Tail,k2,Male,80.7601
fake.day10.k2.trial2,10,Fake Tail,k2,Male,80.6021
fake.day10.k2.trial3,10,Fake Tail,k2,Male,81.7928
fake.day10.k2.trial4,10,Fake Tail,k2,Male,80.8254
fake.day10.k2.trial5,10,Fake Tail,k2,Male,79.5793
fake.day10.l1.trial1,10,Fake Tail,l1,Male,78.6593
fake.day10.l1.trial2,10,Fake Tail,l1,Male,78.277
fake.day10.l1.trial3,10,Fake Tail,l1,Male,79.2078
fake.day10.l1.trial4,10,Fake Tail,l1,Male,77.9392
fake.day10.l1.trial5,10,Fake Tail,l1,Male,79.0046
fake.day11.a1.trial1,11,Fake Tail,a1,Female,70.5095
fake.day11.a1.trial2,11,Fake Tail,a1,Female,71.503
fake.day11.a1.trial3,11,Fake Tail,a1,Female,72.2128
fake.day11.a1.trial4,11,Fake Tail,a1,Female,73.2253
fake.day11.a1.trial5,11,Fake Tail,a1,Female,72.2049
fake.day11.d1.trial1,11,Fake Tail,d1,Female,71.3391
fake.day11.d1.trial2,11,Fake Tail,d1,Female,71.4495
fake.day11.d1.trial3,11,Fake Tail,d1,Female,71.6927
fake.day11.d1.trial4,11,Fake Tail,d1,Female,73.7056
fake.day11.d1.trial5,11,Fake Tail,d1,Female,70.5382
fake.day11.f2.trial1,11,Fake Tail,f2,Female,77.0028
fake.day11.f2.trial2,11,Fake Tail,f2,Female,75.5318
fake.day11.f2.trial3,11,Fake Tail,f2,Female,75.4035
fake.day11.f2.trial4,11,Fake Tail,f2,Female,75.8967
fake.day11.f2.trial5,11,Fake Tail,f2,Female,75.7876
fake.day11.h2.trial1,11,Fake Tail,h2,Male,77.1111
fake.day11.h2.trial2,11,Fake Tail,h2,Male,75.6459
fake.day11.h2.trial3,11,Fake Tail,h2,Male,75.8931
fake.day11.h2.trial4,11,Fake Tail,h2,Male,77.2934
fake.day11.h2.trial5,11,Fake Tail,h2,Male,75.8795
fake.day11.k2.trial1,11,Fake Tail,k2,Male,78.1947
fake.day11.k2.trial2,11,Fake Tail,k2,Male,78.2088
fake.day11.k2.trial3,11,Fake Tail,k2,Male,77.1525
fake.day11.k2.trial4,11,Fake Tail,k2,Male,76.9838
fake.day11.k2.trial5,11,Fake Tail,k2,Male,78.1212
fake.day11.l1.trial1,11,Fake Tail,l1,Male,76.1604
fake.day11.l1.trial2,11,Fake Tail,l1,Male,76.4817
fake.day11.l1.trial3,11,Fake Tail,l1,Male,75.9987
fake.day11.l1.trial4,11,Fake Tail,l1,Male,77.377
fake.day11.l1.trial5,11,Fake Tail,l1,Male,76.8604
fake.day12.a1.trial1,12,Fake Tail,a1,Female,72.9757
fake.day12.a1.trial2,12,Fake Tail,a1,Female,72.5214
fake.day12.a1.trial3,12,Fake Tail,a1,Female,78.1515
fake.day12.a1.trial4,12,Fake Tail,a1,Female,78.4083
fake.day12.a1.trial5,12,Fake Tail,a1,Female,78.3008
fake.day12.d1.trial1,12,Fake Tail,d1,Female,73.6532
fake.day12.d1.trial2,12,Fake Tail,d1,Female,70.6283
fake.day12.d1.trial3,12,Fake Tail,d1,Female,71.2305
fake.day12.d1.trial4,12,Fake Tail,d1,Female,70.5339
fake.day12.d1.trial5,12,Fake Tail,d1,Female,71.1724
fake.day12.f2.trial1,12,Fake Tail,f2,Female,77.4349
fake.day12.f2.trial2,12,Fake Tail,f2,Female,76.2892
fake.day12.f2.trial3,12,Fake Tail,f2,Female,77.4295
fake.day12.f2.trial4,12,Fake Tail,f2,Female,77.0904
fake.day12.f2.trial5,12,Fake Tail,f2,Female,76.0767
fake.day12.h2.trial1,12,Fake Tail,h2,Male,76.6484
fake.day12.h2.trial2,12,Fake Tail,h2,Male,74.124
fake.day12.h2.trial3,12,Fake Tail,h2,Male,75.7024
fake.day12.h2.trial4,12,Fake Tail,h2,Male,75.1315
fake.day12.h2.trial5,12,Fake Tail,h2,Male,73.8912
fake.day12.k2.trial1,12,Fake Tail,k2,Male,78.6649
fake.day12.k2.trial2,12,Fake Tail,k2,Male,76.8021
fake.day12.k2.trial3,12,Fake Tail,k2,Male,77.6893
fake.day12.k2.trial4,12,Fake Tail,k2,Male,77.5736
fake.day12.k2.trial5,12,Fake Tail,k2,Male,77.7093
fake.day12.l1.trial1,12,Fake Tail,l1,Male,79.6025
fake.day12.l1.trial2,12,Fake Tail,l1,Male,76.5108
fake.day12.l1.trial3,12,Fake Tail,l1,Male,78.3832
fake.day12.l1.trial4,12,Fake Tail,l1,Male,75.8119
real.day1.a2.trial1,1,Real Tail,a2,Female,77.9823
real.day1.a2.trial2,1,Real Tail,a2,Female,77.984
real.day1.a2.trial3,1,Real Tail,a2,Female,78.1521
real.day1.b1.trial1,1,Real Tail,b1,Female,78.7328
real.day1.c2.trial1,1,Real Tail,c2,Female,73.6739
real.day1.c2.trial2,1,Real Tail,c2,Female,80.9642
real.day1.c2.trial3,1,Real Tail,c2,Female,74.3217
real.day1.c2.trial4,1,Real Tail,c2,Female,74.9834
real.day1.c2.trial5,1,Real Tail,c2,Female,74.4191
real.day1.g2.trial1,1,Real Tail,g2,Male,71.6859
real.day1.g2.trial2,1,Real Tail,g2,Male,71.6154
real.day1.g2.trial3,1,Real Tail,g2,Male,69.4721
real.day1.g2.trial4,1,Real Tail,g2,Male,65.9563
real.day1.g2.trial5,1,Real Tail,g2,Male,65.667
real.day1.i2.trial1,1,Real Tail,i2,Male,69.6852
real.day2.a2.trial1,2,Real Tail,a2,Female,76.3248
real.day2.a2.trial2,2,Real Tail,a2,Female,76.4046
real.day2.a2.trial3,2,Real Tail,a2,Female,76.8042
real.day2.a2.trial4,2,Real Tail,a2,Female,77.1587
real.day2.a2.trial5,2,Real Tail,a2,Female,77.9404
real.day2.b2.trial1,2,Real Tail,b1,Female,77.3172
real.day2.c2.trial1,2,Real Tail,c2,Female,75.8381
real.day2.c2.trial2,2,Real Tail,c2,Female,76.4505
real.day2.c2.trial3,2,Real Tail,c2,Female,75.8235
real.day2.c2.trial4,2,Real Tail,c2,Female,77.0617
real.day2.c2.trial5,2,Real Tail,c2,Female,76.5181
real.day2.g2.trial1,2,Real Tail,g2,Male,71.4442
real.day2.g2.trial2,2,Real Tail,g2,Male,70.2959
real.day2.g2.trial3,2,Real Tail,g2,Male,67.683
real.day2.i2.trial1,2,Real Tail,i2,Male,74.9281
real.day3.a2.trial1,3,Real Tail,a2,Female,75.6005
real.day3.a2.trial2,3,Real Tail,a2,Female,76.5023
real.day3.a2.trial3,3,Real Tail,a2,Female,75.3674
real.day3.a2.trial4,3,Real Tail,a2,Female,75.8688
real.day3.a2.trial5,3,Real Tail,a2,Female,75.5514
real.day3.b1.trial1,3,Real Tail,b1,Female,73.8297
real.day3.c2.trial1,3,Real Tail,c2,Female,74.6372
real.day3.c2.trial2,3,Real Tail,c2,Female,73.963
real.day3.c2.trial3,3,Real Tail,c2,Female,69.6502
real.day3.c2.trial4,3,Real Tail,c2,Female,72.9624
real.day3.c2.trial5,3,Real Tail,c2,Female,69.672
real.day3.g2.trial1,3,Real Tail,g2,Male,67.0687
real.day3.g2.trial2,3,Real Tail,g2,Male,68.9864
real.day3.g2.trial3,3,Real Tail,g2,Male,67.5247
real.day3.g2.trial4,3,Real Tail,g2,Male,68.6871
real.day3.g2.trial5,3,Real Tail,g2,Male,61.696
real.day3.i2.trial1,3,Real Tail,i2,Male,66.2415
real.day3.i2.trial2,3,Real Tail,i2,Male,65.6466
real.day3.i2.trial3,3,Real Tail,i2,Male,65.737
real.day3.i2.trial4,3,Real Tail,i2,Male,67.1174
real.day3.i2.trial5,3,Real Tail,i2,Male,66.2661
real.day3.l2.trial1,3,Real Tail,l2,Male,73.0502
real.day3.l2.trial2,3,Real Tail,l2,Male,68.2636
real.day4.a2.trial1,4,Real Tail,a2,Female,78.2557
real.day4.a2.trial2,4,Real Tail,a2,Female,78.3795
real.day4.a2.trial3,4,Real Tail,a2,Female,78.0546
real.day4.a2.trial4,4,Real Tail,a2,Female,77.8699
real.day4.a2.trial5,4,Real Tail,a2,Female,77.3355
real.day4.b1.trial1,4,Real Tail,b1,Female,77.2269
real.day4.c2.trial1,4,Real Tail,c2,Female,73.2226
real.day4.c2.trial2,4,Real Tail,c2,Female,73.9008
real.day4.c2.trial3,4,Real Tail,c2,Female,76.9402
real.day4.c2.trial4,4,Real Tail,c2,Female,75.4103
real.day4.c2.trial5,4,Real Tail,c2,Female,74.4428
real.day4.g2.trial1,4,Real Tail,g2,Male,66.0928
real.day4.i2.trial1,4,Real Tail,i2,Male,69.8395
real.day4.i2.trial2,4,Real Tail,i2,Male,70.6404
real.day4.i2.trial3,4,Real Tail,i2,Male,72.6065
real.day4.i2.trial4,4,Real Tail,i2,Male,71.355
real.day4.i2.trial5,4,Real Tail,i2,Male,72.2082
real.day5.a2.trial1,5,Real Tail,a2,Female,77.1115
real.day5.a2.trial2,5,Real Tail,a2,Female,78.5297
real.day5.a2.trial3,5,Real Tail,a2,Female,78.3414
real.day5.a2.trial4,5,Real Tail,a2,Female,78.15
real.day5.a2.trial5,5,Real Tail,a2,Female,78.2926
real.day5.b1.trial1,5,Real Tail,b1,Female,78.4071
real.day5.c2.trial1,5,Real Tail,c2,Female,76.3326
real.day5.c2.trial2,5,Real Tail,c2,Female,76.7969
real.day5.c2.trial3,5,Real Tail,c2,Female,77.032
real.day5.c2.trial4,5,Real Tail,c2,Female,75.5252
real.day5.c2.trial5,5,Real Tail,c2,Female,76.8712
real.day5.g2.trial1,5,Real Tail,g2,Male,73.0174
real.day5.g2.trial2,5,Real Tail,g2,Male,67.029
real.day6.a2.trial1,6,Real Tail,a2,Female,75.7519
real.day6.a2.trial2,6,Real Tail,a2,Female,77.639
real.day6.a2.trial3,6,Real Tail,a2,Female,76.9307
real.day6.a2.trial4,6,Real Tail,a2,Female,75.9084
real.day6.a2.trial5,6,Real Tail,a2,Female,75.1643
real.day6.b1.trial1,6,Real Tail,b1,Female,75.0363
real.day6.b1.trial2,6,Real Tail,b1,Female,74.893
real.day6.b1.trial3,6,Real Tail,b1,Female,75.2764
real.day6.b1.trial4,6,Real Tail,b1,Female,70.8767
real.day6.b1.trial5,6,Real Tail,b1,Female,72.4385
real.day6.c2.trial1,6,Real Tail,c2,Female,75.2908
real.day6.c2.trial2,6,Real Tail,c2,Female,75.1609
real.day6.c2.trial3,6,Real Tail,c2,Female,74.7272
real.day6.c2.trial4,6,Real Tail,c2,Female,74.9179
real.day6.c2.trial5,6,Real Tail,c2,Female,73.2927
real.day6.g2.trial1,6,Real Tail,g2,Male,67.5042
real.day6.g2.trial2,6,Real Tail,g2,Male,66.7219
real.day6.i2.trial1,6,Real Tail,i2,Male,69.4621
real.day6.i2.trial2,6,Real Tail,i2,Male,70.5388
real.day6.i2.trial3,6,Real Tail,i2,Male,70.2775
real.day6.i2.trial4,6,Real Tail,i2,Male,68.3948
real.day6.i2.trial5,6,Real Tail,i2,Male,68.0452
real.day6.l2.trial1,6,Real Tail,l2,Male,73.6741
real.day6.l2.trial2,6,Real Tail,l2,Male,72.373
real.day6.l2.trial3,6,Real Tail,l2,Male,71.4755
real.day6.l2.trial4,6,Real Tail,l2,Male,71.1088
real.day7.b2.trial1,7,Real Tail,b2,Female,74.9551
real.day7.b2.trial2,7,Real Tail,b2,Female,75.8185
real.day7.b2.trial3,7,Real Tail,b2,Female,73.7127
real.day7.b2.trial4,7,Real Tail,b2,Female,74.4036
real.day7.b2.trial5,7,Real Tail,b2,Female,75.2535
real.day7.e2.trial1,7,Real Tail,e2,Female,73.1182
real.day7.e2.trial2,7,Real Tail,e2,Female,76.8785
real.day7.e2.trial3,7,Real Tail,e2,Female,76.3193
real.day7.e2.trial4,7,Real Tail,e2,Female,79.964
real.day7.e2.trial5,7,Real Tail,e2,Female,73.8446
real.day7.h1.trial1,7,Real Tail,h1,Male,70.9515
real.day7.h1.trial2,7,Real Tail,h1,Male,70.8281
real.day7.h1.trial3,7,Real Tail,h1,Male,72.0124
real.day7.h1.trial4,7,Real Tail,h1,Male,69.9638
real.day7.h1.trial5,7,Real Tail,h1,Male,71.7975
real.day7.j1.trial1,7,Real Tail,j1,Male,65.8174
real.day7.j1.trial2,7,Real Tail,j1,Male,68.8647
real.day7.j1.trial3,7,Real Tail,j1,Male,70.3058
real.day8.b2.trial1,8,Real Tail,b2,Female,74.303
real.day8.b2.trial2,8,Real Tail,b2,Female,73.0266
real.day8.b2.trial3,8,Real Tail,b2,Female,74.2474
real.day8.b2.trial4,8,Real Tail,b2,Female,72.3254
real.day8.b2.trial5,8,Real Tail,b2,Female,71.6172
real.day8.e2.trial1,8,Real Tail,e2,Female,73.154
real.day8.e2.trial2,8,Real Tail,e2,Female,72.0902
real.day8.e2.trial3,8,Real Tail,e2,Female,71.844
real.day8.e2.trial4,8,Real Tail,e2,Female,71.9885
real.day8.e2.trial5,8,Real Tail,e2,Female,71.7036
real.day8.g1.trial1,8,Real Tail,g1,Male,78.212
real.day8.g1.trial2,8,Real Tail,g1,Male,79.2451
real.day8.g1.trial3,8,Real Tail,g1,Male,80.7423
real.day8.g1.trial4,8,Real Tail,g1,Male,79.2177
real.day8.g1.trial5,8,Real Tail,g1,Male,79.7726
real.day8.h1.trial1,8,Real Tail,h1,Male,67.8266
real.day8.h1.trial2,8,Real Tail,h1,Male,68.0327
real.day8.h1.trial3,8,Real Tail,h1,Male,67.8843
real.day8.h1.trial4,8,Real Tail,h1,Male,68.1195
real.day8.h1.trial5,8,Real Tail,h1,Male,66.6434
real.day9.b2.trial1,9,Real Tail,b2,Female,74.229
real.day9.b2.trial2,9,Real Tail,b2,Female,74.8063
real.day9.b2.trial3,9,Real Tail,b2,Female,74.4704
real.day9.b2.trial4,9,Real Tail,b2,Female,74.6499
real.day9.b2.trial5,9,Real Tail,b2,Female,75.385
real.day9.e2.trial1,9,Real Tail,e2,Female,77.8214
real.day9.e2.trial2,9,Real Tail,e2,Female,75.9486
real.day9.e2.trial3,9,Real Tail,e2,Female,76.9251
real.day9.e2.trial4,9,Real Tail,e2,Female,75.9252
real.day9.e2.trial5,9,Real Tail,e2,Female,76.6024
real.day9.g1.trial1,9,Real Tail,g1,Male,78.5657
real.day9.g1.trial2,9,Real Tail,g1,Male,76.6642
real.day9.g1.trial3,9,Real Tail,g1,Male,76.6699
real.day9.g1.trial4,9,Real Tail,g1,Male,78.2326
real.day9.g1.trial5,9,Real Tail,g1,Male,79.3083
real.day9.h1.trial1,9,Real Tail,h1,Male,69.9887
real.day9.h1.trial2,9,Real Tail,h1,Male,70.4208
real.day9.h1.trial3,9,Real Tail,h1,Male,69.9698
real.day9.h1.trial4,9,Real Tail,h1,Male,73.1122
real.day9.h1.trial5,9,Real Tail,h1,Male,73.1641
real.day9.j1.trial1,9,Real Tail,j1,Male,76.1926
real.day10.b2.trial1,10,Real Tail,b2,Female,76.73
real.day10.b2.trial2,10,Real Tail,b2,Female,76.8809
real.day10.b2.trial3,10,Real Tail,b2,Female,77.8395
real.day10.b2.trial4,10,Real Tail,b2,Female,76.5749
real.day10.b2.trial5,10,Real Tail,b2,Female,75.5643
real.day10.e2.trial1,10,Real Tail,e2,Female,74.0627
real.day10.e2.trial2,10,Real Tail,e2,Female,73.7721
real.day10.e2.trial3,10,Real Tail,e2,Female,75.4413
real.day10.e2.trial4,10,Real Tail,e2,Female,75.2533
real.day10.e2.trial5,10,Real Tail,e2,Female,74.3844
real.day10.g1.trial1,10,Real Tail,g1,Male,79.1318
real.day10.g1.trial2,10,Real Tail,g1,Male,76.2017
real.day10.g1.trial3,10,Real Tail,g1,Male,77.3882
real.day10.g1.trial4,10,Real Tail,g1,Male,77.6747
real.day10.g1.trial5,10,Real Tail,g1,Male,78.2482
real.day10.h1.trial1,10,Real Tail,h1,Male,71.4758
real.day10.h1.trial2,10,Real Tail,h1,Male,71.4289
real.day10.h1.trial3,10,Real Tail,h1,Male,71.8316
real.day10.h1.trial4,10,Real Tail,h1,Male,69.9737
real.day10.h1.trial5,10,Real Tail,h1,Male,69.4939
real.day10.j1.trial1,10,Real Tail,j1,Male,77.3965
real.day10.j1.trial2,10,Real Tail,j1,Male,76.9704
real.day10.j1.trial3,10,Real Tail,j1,Male,78.1409
real.day11.b2.trial1,11,Real Tail,b2,Female,76.9528
real.day11.b2.trial2,11,Real Tail,b2,Female,77.4609
real.day11.b2.trial3,11,Real Tail,b2,Female,77.1822
real.day11.b2.trial4,11,Real Tail,b2,Female,73.3546
real.day11.b2.trial5,11,Real Tail,b2,Female,78.0228
real.day11.e2.trial1,11,Real Tail,e2,Female,74.5425
real.day11.e2.trial2,11,Real Tail,e2,Female,72.5999
real.day11.e2.trial3,11,Real Tail,e2,Female,75.2863
real.day11.e2.trial4,11,Real Tail,e2,Female,71.826
real.day11.e2.trial5,11,Real Tail,e2,Female,71.8836
real.day11.g1.trial1,11,Real Tail,g1,Male,77.5732
real.day11.g1.trial2,11,Real Tail,g1,Male,78.4176
real.day11.g1.trial3,11,Real Tail,g1,Male,76.1371
real.day11.g1.trial4,11,Real Tail,g1,Male,78.206
real.day11.g1.trial5,11,Real Tail,g1,Male,76.7885
real.day11.h1.trial1,11,Real Tail,h1,Male,69.9783
real.day11.h1.trial2,11,Real Tail,h1,Male,70.1311
real.day11.h1.trial3,11,Real Tail,h1,Male,69.5051
real.day11.h1.trial4,11,Real Tail,h1,Male,69.6838
real.day11.h1.trial5,11,Real Tail,h1,Male,69.9099
real.day11.j1.trial1,11,Real Tail,j1,Male,79.3566
real.day11.j1.trial2,11,Real Tail,j1,Male,76.9986
real.day11.j1.trial3,11,Real Tail,j1,Male,77.442
real.day12.b2.trial1,12,Real Tail,b2,Female,76.7358
real.day12.b2.trial2,12,Real Tail,b2,Female,77.0655
real.day12.b2.trial3,12,Real Tail,b2,Female,77.3881
real.day12.b2.trial4,12,Real Tail,b2,Female,78.0198
real.day12.b2.trial5,12,Real Tail,b2,Female,78.6907
real.day12.e2.trial1,12,Real Tail,e2,Female,75.2495
real.day12.e2.trial2,12,Real Tail,e2,Female,76.1166
real.day12.e2.trial3,12,Real Tail,e2,Female,75.0948
real.day12.e2.trial4,12,Real Tail,e2,Female,72.5759
real.day12.e2.trial5,12,Real Tail,e2,Female,75.837
real.day12.g1.trial1,12,Real Tail,g1,Male,78.604
real.day12.g1.trial2,12,Real Tail,g1,Male,80.1903
real.day12.g1.trial3,12,Real Tail,g1,Male,76.1973
real.day12.g1.trial4,12,Real Tail,g1,Male,75.0826
real.day12.g1.trial5,12,Real Tail,g1,Male,75.9208
real.day12.h1.trial1,12,Real Tail,h1,Male,75.5056
real.day12.h1.trial2,12,Real Tail,h1,Male,73.8193
real.day12.h1.trial3,12,Real Tail,h1,Male,73.9418
real.day12.h1.trial4,12,Real Tail,h1,Male,76.386
real.day12.h1.trial5,12,Real Tail,h1,Male,75.4603
